root@comp3134winter2024:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
22:31:25.063127 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 3493974864:3493974956, ack 3309657429, win 501, options [nop,nop,TS val 3432284524 ecr 244478669], length 92
22:31:25.371915 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 14620:14864, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 244
22:31:25.371958 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 14864:14900, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 36
22:31:25.371992 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 14900:15152, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 252
22:31:25.372030 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 15152:15188, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 36
22:31:25.372067 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 15188:15432, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 244
22:31:25.372111 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 15432:15468, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 36
22:31:25.372146 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 15468:15720, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 252
22:31:25.372183 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 15720:15756, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 36
22:31:25.372225 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 15756:16000, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 244
22:31:25.372262 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 16000:16036, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 36
22:31:25.372304 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 16036:16288, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 252
22:31:25.372341 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 16288:16324, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 36
22:31:25.372398 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 16324:16568, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 244
22:31:25.372434 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 16568:16604, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 36
22:31:25.372479 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 16604:16856, ack 1, win 501, options [nop,nop,TS val 3432284833 ecr 244478909], length 252
22:31:25.372515 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 16856:16892, ack 1, win 501, options [nop,nop,TS val 3432284834 ecr 244478909], length 36
22:31:25.372558 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 16892:17128, ack 1, win 501, options [nop,nop,TS val 3432284834 ecr 244478909], length 236
22:31:25.386690 IP cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099 > comp3134winter2024.ssh: Flags [.], ack 10608, win 10257, options [nop,nop,TS val 244479000 ecr 3432284832], length 0
22:31:25.386691 IP cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099 > comp3134winter2024.ssh: Flags [.], ack 16288, win 10306, options [nop,nop,TS val 244479000 ecr 3432284833], length 0
22:31:25.386763 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 17128:17988, ack 1, win 501, options [nop,nop,TS val 3432284848 ecr 244479000], length 860
22:31:25.394995 IP cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099 > comp3134winter2024.ssh: Flags [.], ack 17128, win 10293, options [nop,nop,TS val 244479002 ecr 3432284834], length 0
22:31:25.400828 IP cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099 > comp3134winter2024.ssh: Flags [.], ack 17988, win 10292, options [nop,nop,TS val 244479016 ecr 3432284848], length 0
22:31:25.473733 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 17988:18240, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 252
22:31:25.473835 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 18240:18276, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 36
22:31:25.473893 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 18276:18520, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 244
22:31:25.473930 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 18520:18556, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 36
22:31:25.473978 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 18556:18808, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 252
22:31:25.474015 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 18808:18844, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 36
22:31:25.474060 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 18844:19088, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 244
22:31:25.474096 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 19088:19124, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 36
22:31:25.474183 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 19124:19376, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 252
22:31:25.474221 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 19376:19412, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 36
22:31:25.474266 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 19412:19656, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 244
22:31:25.474303 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 19656:19692, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 36
22:31:25.474347 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 19692:19944, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 252
22:31:25.474383 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 19944:19980, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 36
22:31:25.474427 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 19980:20224, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 244
22:31:25.474463 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 20224:20260, ack 1, win 501, options [nop,nop,TS val 3432284935 ecr 244479016], length 36
22:31:25.474507 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 20260:20512, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 252
22:31:25.474543 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 20512:20548, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 36
22:31:25.474587 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 20548:20792, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 244
22:31:25.474625 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 20792:20828, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 36
22:31:25.474694 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 20828:21080, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 252
22:31:25.474743 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 21080:21116, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 36
22:31:25.474782 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 21116:21360, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 244
22:31:25.474818 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 21360:21396, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 36
22:31:25.474865 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 21396:21648, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 252
22:31:25.474909 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 21648:21684, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 36
22:31:25.474972 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 21684:21928, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 244
22:31:25.475011 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 21928:21964, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 36
22:31:25.475072 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 21964:22216, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 252
22:31:25.475111 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 22216:22252, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 36
22:31:25.475157 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 22252:22496, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 244
22:31:25.475193 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 22496:22532, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 36
22:31:25.475237 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 22532:22784, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 252
22:31:25.475273 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 22784:22820, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 36
22:31:25.475316 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 22820:23072, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 252
22:31:25.475352 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 23072:23108, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 36
22:31:25.475396 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 23108:23360, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 252
22:31:25.475432 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 23360:23396, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 36
22:31:25.475475 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 23396:23648, ack 1, win 501, options [nop,nop,TS val 3432284936 ecr 244479016], length 252
22:31:25.475511 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 23648:23684, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 36
22:31:25.475556 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 23684:23936, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 252
22:31:25.475592 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 23936:23972, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 36
22:31:25.475635 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 23972:24224, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 252
22:31:25.475675 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 24224:24260, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 36
22:31:25.475731 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 24260:24512, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 252
22:31:25.475769 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 24512:24548, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 36
22:31:25.475818 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 24548:24800, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 252
22:31:25.475855 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 24800:24836, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 36
22:31:25.475900 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 24836:25088, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 252
22:31:25.475936 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 25088:25124, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 36
22:31:25.475979 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 25124:25376, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 252
22:31:25.476015 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 25376:25412, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 36
22:31:25.476062 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 25412:25664, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 252
22:31:25.476099 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 25664:25700, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 36
22:31:25.476143 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 25700:25952, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 252
22:31:25.476180 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 25952:25988, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 36
22:31:25.476223 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 25988:26240, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 252
22:31:25.476259 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 26240:26276, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 36
22:31:25.476302 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 26276:26528, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 252
22:31:25.476338 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 26528:26564, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 36
22:31:25.476381 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 26564:26816, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 252
22:31:25.476416 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 26816:26852, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 36
22:31:25.476459 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 26852:27104, ack 1, win 501, options [nop,nop,TS val 3432284937 ecr 244479016], length 252
22:31:25.476495 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 27104:27140, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 36
22:31:25.476558 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 27140:27392, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 252
22:31:25.476601 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 27392:27428, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 36
22:31:25.476651 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 27428:27680, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 252
22:31:25.476688 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 27680:27716, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 36
22:31:25.476733 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 27716:27968, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 252
22:31:25.476769 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 27968:28004, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 36
22:31:25.476814 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 28004:28256, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 252
22:31:25.476858 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 28256:28292, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 36
22:31:25.476921 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 28292:28544, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 252
22:31:25.476962 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 28544:28580, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 36
22:31:25.477025 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 28580:28832, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 252
22:31:25.477063 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 28832:28868, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 36
22:31:25.477110 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 28868:29120, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 252
22:31:25.477145 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 29120:29156, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 36
22:31:25.477189 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 29156:29408, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 252
22:31:25.477225 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 29408:29444, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 36
22:31:25.477268 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 29444:29696, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 252
22:31:25.477304 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 29696:29732, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 36
22:31:25.477347 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 29732:29984, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 252
22:31:25.477382 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 29984:30020, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 36
22:31:25.477425 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 30020:30272, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 252
22:31:25.477461 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 30272:30308, ack 1, win 501, options [nop,nop,TS val 3432284938 ecr 244479016], length 36
22:31:25.477521 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 30308:30560, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 252
22:31:25.477558 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 30560:30596, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 36
22:31:25.477604 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 30596:30848, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 252
22:31:25.477641 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 30848:30884, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 36
22:31:25.477685 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 30884:31136, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 252
