root@comp3134winter2024:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
22:29:39.654905 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 3493910828:3493910912, ack 3309656529, win 501, options [nop,nop,TS val 3432179116 ecr 244373261], length 84
22:29:40.067820 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 18048:18084, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 36
22:29:40.067862 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 18084:18288, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 204
22:29:40.067898 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 18288:18324, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 36
22:29:40.067940 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 18324:18528, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 204
22:29:40.067975 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 18528:18564, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 36
22:29:40.068018 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 18564:18768, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 204
22:29:40.068054 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 18768:18804, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 36
22:29:40.068095 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 18804:19008, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 204
22:29:40.068130 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 19008:19044, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 36
22:29:40.068173 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 19044:19248, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 204
22:29:40.068208 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 19248:19284, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 36
22:29:40.068267 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 19284:19488, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 204
22:29:40.068301 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 19488:19524, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 36
22:29:40.068345 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 19524:19728, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 204
22:29:40.068380 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 19728:19764, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 36
22:29:40.068423 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 19764:19968, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 204
22:29:40.068458 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 19968:20004, ack 37, win 501, options [nop,nop,TS val 3432179529 ecr 244373605], length 36
22:29:40.068498 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 20004:20208, ack 37, win 501, options [nop,nop,TS val 3432179530 ecr 244373605], length 204
22:29:40.068571 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 20208:20448, ack 37, win 501, options [nop,nop,TS val 3432179530 ecr 244373605], length 240
22:29:40.068603 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 20448:20484, ack 37, win 501, options [nop,nop,TS val 3432179530 ecr 244373605], length 36
22:29:40.068647 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 20484:20688, ack 37, win 501, options [nop,nop,TS val 3432179530 ecr 244373605], length 204
22:29:40.068719 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 20688:20928, ack 37, win 501, options [nop,nop,TS val 3432179530 ecr 244373605], length 240
22:29:40.068776 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 20928:20964, ack 37, win 501, options [nop,nop,TS val 3432179530 ecr 244373605], length 36
22:29:40.068822 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 20964:21168, ack 37, win 501, options [nop,nop,TS val 3432179530 ecr 244373605], length 204
22:29:40.068928 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 21168:21444, ack 37, win 501, options [nop,nop,TS val 3432179530 ecr 244373605], length 276
22:29:40.068964 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 21444:21684, ack 37, win 501, options [nop,nop,TS val 3432179530 ecr 244373605], length 240
22:29:40.069031 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 21684:21888, ack 37, win 501, options [nop,nop,TS val 3432179530 ecr 244373605], length 204
22:29:40.069167 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 21888:22092, ack 37, win 501, options [nop,nop,TS val 3432179530 ecr 244373605], length 204
22:29:40.069220 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 22092:22296, ack 37, win 501, options [nop,nop,TS val 3432179530 ecr 244373605], length 204
22:29:40.069321 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 22296:22500, ack 37, win 501, options [nop,nop,TS val 3432179530 ecr 244373605], length 204
22:29:40.069425 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 22500:23040, ack 37, win 501, options [nop,nop,TS val 3432179530 ecr 244373605], length 540
22:29:40.069530 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 23040:23412, ack 37, win 501, options [nop,nop,TS val 3432179531 ecr 244373605], length 372
22:29:40.069612 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 23412:23616, ack 37, win 501, options [nop,nop,TS val 3432179531 ecr 244373605], length 204
22:29:40.069679 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 23616:23820, ack 37, win 501, options [nop,nop,TS val 3432179531 ecr 244373605], length 204
22:29:40.069764 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 23820:24192, ack 37, win 501, options [nop,nop,TS val 3432179531 ecr 244373605], length 372
22:29:40.069850 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 24192:24564, ack 37, win 501, options [nop,nop,TS val 3432179531 ecr 244373605], length 372
22:29:40.069917 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 24564:24768, ack 37, win 501, options [nop,nop,TS val 3432179531 ecr 244373605], length 204
22:29:40.069996 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 24768:25140, ack 37, win 501, options [nop,nop,TS val 3432179531 ecr 244373605], length 372
22:29:40.070092 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 25140:25512, ack 37, win 501, options [nop,nop,TS val 3432179531 ecr 244373605], length 372
22:29:40.070211 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 25512:26044, ack 37, win 501, options [nop,nop,TS val 3432179531 ecr 244373605], length 532
22:29:40.070287 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 26044:26392, ack 37, win 501, options [nop,nop,TS val 3432179531 ecr 244373605], length 348
22:29:40.070334 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 26392:26428, ack 37, win 501, options [nop,nop,TS val 3432179531 ecr 244373605], length 36
22:29:40.082513 IP 99.230.43.173.64099 > 165.22.228.255.22: Flags [.], ack 19008, win 10306, options [nop,nop,TS val 244373697 ecr 3432179529], length 0
22:29:40.089109 IP 99.230.43.173.64099 > 165.22.228.255.22: Flags [.], ack 26428, win 10241, options [nop,nop,TS val 244373701 ecr 3432179531], length 0
22:29:40.089110 IP 99.230.43.173.64099 > 165.22.228.255.22: Flags [.], ack 26428, win 10306, options [nop,nop,TS val 244373701 ecr 3432179531], length 0
22:29:40.169695 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 26428:26632, ack 37, win 501, options [nop,nop,TS val 3432179631 ecr 244373701], length 204
22:29:40.169862 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 26632:27172, ack 37, win 501, options [nop,nop,TS val 3432179631 ecr 244373701], length 540
22:29:40.169987 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 27172:27712, ack 37, win 501, options [nop,nop,TS val 3432179631 ecr 244373701], length 540
22:29:40.170155 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 27712:28084, ack 37, win 501, options [nop,nop,TS val 3432179631 ecr 244373701], length 372
22:29:40.170318 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 28084:28960, ack 37, win 501, options [nop,nop,TS val 3432179631 ecr 244373701], length 876
22:29:40.170398 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 28960:29332, ack 37, win 501, options [nop,nop,TS val 3432179631 ecr 244373701], length 372
22:29:40.170473 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 29332:29704, ack 37, win 501, options [nop,nop,TS val 3432179631 ecr 244373701], length 372
22:29:40.170546 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 29704:30076, ack 37, win 501, options [nop,nop,TS val 3432179632 ecr 244373701], length 372
22:29:40.170622 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 30076:30448, ack 37, win 501, options [nop,nop,TS val 3432179632 ecr 244373701], length 372
22:29:40.170696 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 30448:30820, ack 37, win 501, options [nop,nop,TS val 3432179632 ecr 244373701], length 372
22:29:40.170751 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 30820:31024, ack 37, win 501, options [nop,nop,TS val 3432179632 ecr 244373701], length 204
22:29:40.170851 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 31024:31564, ack 37, win 501, options [nop,nop,TS val 3432179632 ecr 244373701], length 540
22:29:40.170924 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 31564:31936, ack 37, win 501, options [nop,nop,TS val 3432179632 ecr 244373701], length 372
22:29:40.170982 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 31936:32148, ack 37, win 501, options [nop,nop,TS val 3432179632 ecr 244373701], length 212
22:29:40.171053 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 32148:32520, ack 37, win 501, options [nop,nop,TS val 3432179632 ecr 244373701], length 372
22:29:40.171127 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 32520:32892, ack 37, win 501, options [nop,nop,TS val 3432179632 ecr 244373701], length 372
22:29:40.171232 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 32892:33264, ack 37, win 501, options [nop,nop,TS val 3432179632 ecr 244373701], length 372
22:29:40.171584 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 33264:33804, ack 37, win 501, options [nop,nop,TS val 3432179633 ecr 244373701], length 540
22:29:40.172082 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 33804:36704, ack 37, win 501, options [nop,nop,TS val 3432179633 ecr 244373701], length 2900
22:29:40.172252 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 36704:37412, ack 37, win 501, options [nop,nop,TS val 3432179633 ecr 244373701], length 708
22:29:40.172396 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 37412:37952, ack 37, win 501, options [nop,nop,TS val 3432179633 ecr 244373701], length 540
22:29:40.172507 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 37952:38332, ack 37, win 501, options [nop,nop,TS val 3432179634 ecr 244373701], length 380
22:29:40.172627 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 38332:38872, ack 37, win 501, options [nop,nop,TS val 3432179634 ecr 244373701], length 540
22:29:40.172734 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 38872:39244, ack 37, win 501, options [nop,nop,TS val 3432179634 ecr 244373701], length 372
22:29:40.172830 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 39244:39792, ack 37, win 501, options [nop,nop,TS val 3432179634 ecr 244373701], length 548
22:29:40.172908 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 39792:40164, ack 37, win 501, options [nop,nop,TS val 3432179634 ecr 244373701], length 372
22:29:40.172985 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 40164:40544, ack 37, win 501, options [nop,nop,TS val 3432179634 ecr 244373701], length 380
22:29:40.173069 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 40544:40916, ack 37, win 501, options [nop,nop,TS val 3432179634 ecr 244373701], length 372
22:29:40.173178 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 40916:41456, ack 37, win 501, options [nop,nop,TS val 3432179634 ecr 244373701], length 540
22:29:40.173256 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 41456:41804, ack 37, win 501, options [nop,nop,TS val 3432179634 ecr 244373701], length 348
22:29:40.173326 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 41804:41992, ack 37, win 501, options [nop,nop,TS val 3432179634 ecr 244373701], length 188
22:29:40.173389 IP 165.22.228.255.22 > 99.230.43.173.64099: Flags [P.], seq 41992:42028, ack 37, win 501, options [nop,nop,TS val 3432179634 ecr 244373701], length 36
22:29:40.184708 IP 99.230.43.173.64099 > 165.22.228.255.22: Flags [.], ack 41804, win 10172, options [nop,nop,TS val 244373801 ecr 3432179634], length 0
22:29:40.192677 IP 99.230.43.173.64099 > 165.22.228.255.22: Flags [.], ack 42028, win 10302, options [nop,nop,TS val 244373801 ecr 3432179634], length 0
^C
234 packets captured
252 packets received by filter
0 packets dropped by kernel
root@comp3134winter2024:~# 
